before_tokenisasi,after_tokenisasi
kalo enzo gue masih suka sih sebagai fan emyu tapi kalo caicedo sudah enggak ketolong,"['kalo', 'enzo', 'gue', 'masih', 'suka', 'sih', 'sebagai', 'fan', 'emyu', 'tapi', 'kalo', 'caicedo', 'sudah', 'enggak', 'ketolong']"
taktik amorim sangat menarik permainan lebih cair dan menyerang,"['taktik', 'amorim', 'sangat', 'menarik', 'permainan', 'lebih', 'cair', 'dan', 'menyerang']"
dalot ngapainn di ribu asu itu,"['dalot', 'ngapainn', 'di', 'ribu', 'asu', 'itu']"
pikir sendiri blunder bek city terus dilanjut garncho wkwkwkw enggak lawak bagaimana ini tim,"['pikir', 'sendiri', 'blunder', 'bek', 'city', 'terus', 'dilanjut', 'garncho', 'wkwkwkw', 'enggak', 'lawak', 'bagaimana', 'ini', 'tim']"
skema serangan balik amorim lebih efektif pemain lebih cepat mengambil keputusan,"['skema', 'serangan', 'balik', 'amorim', 'lebih', 'efektif', 'pemain', 'lebih', 'cepat', 'mengambil', 'keputusan']"
suee kenapa lebih enak ntn brighton maennya,"['suee', 'kenapa', 'lebih', 'enak', 'ntn', 'brighton', 'maennya']"
senggol dikit jatuh pelanggaran,"['senggol', 'dikit', 'jatuh', 'pelanggaran']"
garnacho tm,"['garnacho', 'tm']"
sudah pada bobo mimpi indah deh o united we love you,"['sudah', 'pada', 'bobo', 'mimpi', 'indah', 'deh', 'o', 'united', 'we', 'love', 'you']"
altay,['altay']
iya e enggak dijelasin kenapanya padahal musim sebelumnya deh pakai,"['iya', 'e', 'enggak', 'dijelasin', 'kenapanya', 'padahal', 'musim', 'sebelumnya', 'deh', 'pakai']"
suka sama ide amorim cuma masih perlu waktu biar tim lebih solid kadang kebobolan karena kurang fokus,"['suka', 'sama', 'ide', 'amorim', 'cuma', 'masih', 'perlu', 'waktu', 'biar', 'tim', 'lebih', 'solid', 'kadang', 'kebobolan', 'karena', 'kurang', 'fokus']"
mana nih gnev yang bilang bahwa rashford harus jadi pemain dengan gaji tertinggi diklub karena modal akamsi dan main bagus semusim,"['mana', 'nih', 'gnev', 'yang', 'bilang', 'bahwa', 'rashford', 'harus', 'jadi', 'pemain', 'dengan', 'gaji', 'tertinggi', 'diklub', 'karena', 'modal', 'akamsi', 'dan', 'main', 'bagus', 'semusim']"
sudah bisa,"['sudah', 'bisa']"
wkwk ada ada saja anjing,"['wkwk', 'ada', 'ada', 'saja', 'anjing']"
saham,['saham']
siap naufal,"['siap', 'naufal']"
amorim lebih berani memberikan kesempatan pada pemain muda akademi united,"['amorim', 'lebih', 'berani', 'memberikan', 'kesempatan', 'pada', 'pemain', 'muda', 'akademi', 'united']"
nah benerudah susah payah beli deh ligt malah masang wak haji,"['nah', 'benerudah', 'susah', 'payah', 'beli', 'deh', 'ligt', 'malah', 'masang', 'wak', 'haji']"
enggak apa-apa min katanya kemarin kan yang salah cidera dan pemain yang enggak perform bukan pelatihnya eth kan pelatih hebat kata mereka,"['enggak', 'apa-apa', 'min', 'katanya', 'kemarin', 'kan', 'yang', 'salah', 'cidera', 'dan', 'pemain', 'yang', 'enggak', 'perform', 'bukan', 'pelatihnya', 'eth', 'kan', 'pelatih', 'hebat', 'kata', 'mereka']"
nice,['nice']
perlu waktu adaptasi tapi filosofi amorim lebih cocok dengan dna united,"['perlu', 'waktu', 'adaptasi', 'tapi', 'filosofi', 'amorim', 'lebih', 'cocok', 'dengan', 'dna', 'united']"
faktaa,['faktaa']
bersama tenhag akan tertawa terbahak bahak,"['bersama', 'tenhag', 'akan', 'tertawa', 'terbahak', 'bahak']"
bagaimana mau menghindar orang posisi nya sudah meluncur maju begitu apes saja sih,"['bagaimana', 'mau', 'menghindar', 'orang', 'posisi', 'nya', 'sudah', 'meluncur', 'maju', 'begitu', 'apes', 'saja', 'sih']"
apa pengaruh dari dokter eks arsenal juga kah ini,"['apa', 'pengaruh', 'dari', 'dokter', 'eks', 'arsenal', 'juga', 'kah', 'ini']"
enggak sebanding gara tadi malah jadi kalah,"['enggak', 'sebanding', 'gara', 'tadi', 'malah', 'jadi', 'kalah']"
kemenangan penting tapi kalau lihat performa belakang masih terlalu gampang ditembus harus lebih rapat,"['kemenangan', 'penting', 'tapi', 'kalau', 'lihat', 'performa', 'belakang', 'masih', 'terlalu', 'gampang', 'ditembus', 'harus', 'lebih', 'rapat']"
lu kan tanya posisi unbeaten juga bilbao memang unbeaten kah,"['lu', 'kan', 'tanya', 'posisi', 'unbeaten', 'juga', 'bilbao', 'memang', 'unbeaten', 'kah']"
dan itulah faktanya,"['dan', 'itulah', 'faktanya']"
emot zirkzee untuk arsenal,"['emot', 'zirkzee', 'untuk', 'arsenal']"
coba saja pelatih ada mirip kaya saf pemain yang enggak perfom di cadanganin enggak ada yang di anak emaskan tolong raspod sama onana kunciin di kamar mandi,"['coba', 'saja', 'pelatih', 'ada', 'mirip', 'kaya', 'saf', 'pemain', 'yang', 'enggak', 'perfom', 'di', 'cadanganin', 'enggak', 'ada', 'yang', 'di', 'anak', 'emaskan', 'tolong', 'raspod', 'sama', 'onana', 'kunciin', 'di', 'kamar', 'mandi']"
dan itulah faktanya,"['dan', 'itulah', 'faktanya']"
cuman onana doang yang kaya anjing,"['cuman', 'onana', 'doang', 'yang', 'kaya', 'anjing']"
saya melihat perbaikan yang jelas di bawah ruben amorim tetapi kami harus lebih tajam di depan gawang hasil imbang menunjukkan bahwa masih banyak yang perlu diperbaiki,"['saya', 'melihat', 'perbaikan', 'yang', 'jelas', 'di', 'bawah', 'ruben', 'amorim', 'tetapi', 'kami', 'harus', 'lebih', 'tajam', 'di', 'depan', 'gawang', 'hasil', 'imbang', 'menunjukkan', 'bahwa', 'masih', 'banyak', 'yang', 'perlu', 'diperbaiki']"
banyak komen orang glory hunter anjing alias karduss fan layar kaca doang kayak macam datang menonton langsung di old trafford,"['banyak', 'komen', 'orang', 'glory', 'hunter', 'anjing', 'alias', 'karduss', 'fan', 'layar', 'kaca', 'doang', 'kayak', 'macam', 'datang', 'menonton', 'langsung', 'di', 'old', 'trafford']"
setuju,['setuju']
deh gea diamonde deh light maguire mazroi mctomnay mainodavies kvaratskhelia hojlundgyokeres olise,"['deh', 'gea', 'diamonde', 'deh', 'light', 'maguire', 'mazroi', 'mctomnay', 'mainodavies', 'kvaratskhelia', 'hojlundgyokeres', 'olise']"
martial jilid,"['martial', 'jilid']"
maunya kita begitu cuma sih botak ten hag mau enggak,"['maunya', 'kita', 'begitu', 'cuma', 'sih', 'botak', 'ten', 'hag', 'mau', 'enggak']"
mu menang tapi kalau kita enggak rapat di belakang bisa bahaya di pertandingan berikutnya,"['mu', 'menang', 'tapi', 'kalau', 'kita', 'enggak', 'rapat', 'di', 'belakang', 'bisa', 'bahaya', 'di', 'pertandingan', 'berikutnya']"
berdoa saja gaes semoga onana enggak ngelawak,"['berdoa', 'saja', 'gaes', 'semoga', 'onana', 'enggak', 'ngelawak']"
round ini belum pakai var,"['round', 'ini', 'belum', 'pakai', 'var']"
kebiasan banget latihan pada cedera ini sistem nya bagaimana dah,"['kebiasan', 'banget', 'latihan', 'pada', 'cedera', 'ini', 'sistem', 'nya', 'bagaimana', 'dah']"
penyerang kiri ya kasih pemain di posisinya ada amad dan antony malah mainkan rashford disana,"['penyerang', 'kiri', 'ya', 'kasih', 'pemain', 'di', 'posisinya', 'ada', 'amad', 'dan', 'antony', 'malah', 'mainkan', 'rashford', 'disana']"
saya melihat bahwa ruben amorim membawa angin segar meskipun hasilnya imbang tim ini terlihat lebih percaya diri dan lebih agresif,"['saya', 'melihat', 'bahwa', 'ruben', 'amorim', 'membawa', 'angin', 'segar', 'meskipun', 'hasilnya', 'imbang', 'tim', 'ini', 'terlihat', 'lebih', 'percaya', 'diri', 'dan', 'lebih', 'agresif']"
kalo ada var pasti offside,"['kalo', 'ada', 'var', 'pasti', 'offside']"
kemarin sekarang keren,"['kemarin', 'sekarang', 'keren']"
garna kiri amad kanan,"['garna', 'kiri', 'amad', 'kanan']"
seluruh tim tampil luar biasa semangat juangnya bikin kagum,"['seluruh', 'tim', 'tampil', 'luar', 'biasa', 'semangat', 'juangnya', 'bikin', 'kagum']"
gue enggak tau taunya tadi besiktas lawan twente sorry btw gue cewek,"['gue', 'enggak', 'tau', 'taunya', 'tadi', 'besiktas', 'lawan', 'twente', 'sorry', 'btw', 'gue', 'cewek']"
kayaknya mu butuh tomas tuchel,"['kayaknya', 'mu', 'butuh', 'tomas', 'tuchel']"
pemainpemain senior perlu memberi contoh kepada pemain muda di dalam tim,"['pemainpemain', 'senior', 'perlu', 'memberi', 'contoh', 'kepada', 'pemain', 'muda', 'di', 'dalam', 'tim']"
pemain harus lebih fokus jangan sampai kehilangan konsentrasi,"['pemain', 'harus', 'lebih', 'fokus', 'jangan', 'sampai', 'kehilangan', 'konsentrasi']"
ft win,"['ft', 'win']"
memang sudah wajib diparkir rashford sama casemiro jangan dikasih main dari awal,"['memang', 'sudah', 'wajib', 'diparkir', 'rashford', 'sama', 'casemiro', 'jangan', 'dikasih', 'main', 'dari', 'awal']"
sudah dikutuk ini klub,"['sudah', 'dikutuk', 'ini', 'klub']"
saya sedikit kecewa dengan hasil imbang namun saya melihat banyak hal positif dalam cara bermain tim di bawah ruben amorim,"['saya', 'sedikit', 'kecewa', 'dengan', 'hasil', 'imbang', 'namun', 'saya', 'melihat', 'banyak', 'hal', 'positif', 'dalam', 'cara', 'bermain', 'tim', 'di', 'bawah', 'ruben', 'amorim']"
yang mau streaming dm saja ya,"['yang', 'mau', 'streaming', 'dm', 'saja', 'ya']"
ini baru pembisnis cerdas enggak kayak yang lamalintah darat,"['ini', 'baru', 'pembisnis', 'cerdas', 'enggak', 'kayak', 'yang', 'lamalintah', 'darat']"
butuh waktu butuh waktu memang lu enggak pintar ngelatih saja,"['butuh', 'waktu', 'butuh', 'waktu', 'memang', 'lu', 'enggak', 'pintar', 'ngelatih', 'saja']"
inal masih saja ada yang komen begini sudah lah move on,"['inal', 'masih', 'saja', 'ada', 'yang', 'komen', 'begini', 'sudah', 'lah', 'move', 'on']"
jamunya onana apa ya kayak fit mulu,"['jamunya', 'onana', 'apa', 'ya', 'kayak', 'fit', 'mulu']"
pikiranku sekarang ten hag out,"['pikiranku', 'sekarang', 'ten', 'hag', 'out']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
ruben amorim mulai menunjukkan kualitasnya di laga kedua meskipun kami tidak menang saya bisa melihat perbaikan dalam permainan tim,"['ruben', 'amorim', 'mulai', 'menunjukkan', 'kualitasnya', 'di', 'laga', 'kedua', 'meskipun', 'kami', 'tidak', 'menang', 'saya', 'bisa', 'melihat', 'perbaikan', 'dalam', 'permainan', 'tim']"
maguire sudah benar markingnya cuma tadi sih mitoma lepas enggak ada yang jaga onana juga salah diam doang onana tuh sering banget bola kayak begitu cuma diliatin doang,"['maguire', 'sudah', 'benar', 'markingnya', 'cuma', 'tadi', 'sih', 'mitoma', 'lepas', 'enggak', 'ada', 'yang', 'jaga', 'onana', 'juga', 'salah', 'diam', 'doang', 'onana', 'tuh', 'sering', 'banget', 'bola', 'kayak', 'begitu', 'cuma', 'diliatin', 'doang']"
butuh playmaker winger cerdas ampun enggak ketolong otak monoton semua,"['butuh', 'playmaker', 'winger', 'cerdas', 'ampun', 'enggak', 'ketolong', 'otak', 'monoton', 'semua']"
bayindir starter lah liga itu match,"['bayindir', 'starter', 'lah', 'liga', 'itu', 'match']"
bye satpam trophy,"['bye', 'satpam', 'trophy']"
lebih masalah waktu sih sama pemain yang memang benar bisa nerapin taktik nya amorim,"['lebih', 'masalah', 'waktu', 'sih', 'sama', 'pemain', 'yang', 'memang', 'benar', 'bisa', 'nerapin', 'taktik', 'nya', 'amorim']"
kalau memilih mctominay atau rasfordmendingan rasford yang out deh,"['kalau', 'memilih', 'mctominay', 'atau', 'rasfordmendingan', 'rasford', 'yang', 'out', 'deh']"
di chrome saja ketik tigoals,"['di', 'chrome', 'saja', 'ketik', 'tigoals']"
laga pertama cukup menjanjikan saya berharap ruben amorim bisa terus memperbaiki kelemahan tim agar bisa meraih kemenangan berikutnya,"['laga', 'pertama', 'cukup', 'menjanjikan', 'saya', 'berharap', 'ruben', 'amorim', 'bisa', 'terus', 'memperbaiki', 'kelemahan', 'tim', 'agar', 'bisa', 'meraih', 'kemenangan', 'berikutnya']"
sebenarnya offside kayanya sih itu cuma kalopun di anulir dan perpanjangan waktu gua tetap percaya diri kalo mu bakal menang sih karena kelihatan menit menit akhir sudah pada panas pemainnya,"['sebenarnya', 'offside', 'kayanya', 'sih', 'itu', 'cuma', 'kalopun', 'di', 'anulir', 'dan', 'perpanjangan', 'waktu', 'gua', 'tetap', 'percaya', 'diri', 'kalo', 'mu', 'bakal', 'menang', 'sih', 'karena', 'kelihatan', 'menit', 'menit', 'akhir', 'sudah', 'pada', 'panas', 'pemainnya']"
sumpah progres tim ini luar biasa dari pecundang jadi pesaing juara,"['sumpah', 'progres', 'tim', 'ini', 'luar', 'biasa', 'dari', 'pecundang', 'jadi', 'pesaing', 'juara']"
dalot dikasih kesempatan main sampai full time kayanya memang bakalan diambil dorgu posisi dia,"['dalot', 'dikasih', 'kesempatan', 'main', 'sampai', 'full', 'time', 'kayanya', 'memang', 'bakalan', 'diambil', 'dorgu', 'posisi', 'dia']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
secara permainan lebih bagus memang mas tapi kalo casenya caicedo sama enzo itu mah memang chelsea yang enggak bisa dealing,"['secara', 'permainan', 'lebih', 'bagus', 'memang', 'mas', 'tapi', 'kalo', 'casenya', 'caicedo', 'sama', 'enzo', 'itu', 'mah', 'memang', 'chelsea', 'yang', 'enggak', 'bisa', 'dealing']"
saya harap ruben amorim bisa segera mengatasi masalah ketajaman lini depan hasil imbang menunjukkan ada ruang untuk perbaikan,"['saya', 'harap', 'ruben', 'amorim', 'bisa', 'segera', 'mengatasi', 'masalah', 'ketajaman', 'lini', 'depan', 'hasil', 'imbang', 'menunjukkan', 'ada', 'ruang', 'untuk', 'perbaikan']"
setuju parah bang,"['setuju', 'parah', 'bang']"
jangan begitu lah bang kita fan mu sudah tekanan batin masak iya harus degradasi,"['jangan', 'begitu', 'lah', 'bang', 'kita', 'fan', 'mu', 'sudah', 'tekanan', 'batin', 'masak', 'iya', 'harus', 'degradasi']"
poor club,"['poor', 'club']"
gameplan jalan kan pasti berawal dari passing yang bagus minim error kalo passing saja error terus akhirnya gameplan enggak jalan salah pelatih begitu kemarin sempat dapat peluang passing jalan tapi finishing jelek salah pelatih juga nih,"['gameplan', 'jalan', 'kan', 'pasti', 'berawal', 'dari', 'passing', 'yang', 'bagus', 'minim', 'error', 'kalo', 'passing', 'saja', 'error', 'terus', 'akhirnya', 'gameplan', 'enggak', 'jalan', 'salah', 'pelatih', 'begitu', 'kemarin', 'sempat', 'dapat', 'peluang', 'passing', 'jalan', 'tapi', 'finishing', 'jelek', 'salah', 'pelatih', 'juga', 'nih']"
amorim akhirnya bikin tim lebih kompak tapi defense kita masih sering keluar dari posisi perlu lebih rapat,"['amorim', 'akhirnya', 'bikin', 'tim', 'lebih', 'kompak', 'tapi', 'defense', 'kita', 'masih', 'sering', 'keluar', 'dari', 'posisi', 'perlu', 'lebih', 'rapat']"
sudah lah sadar diri beban,"['sudah', 'lah', 'sadar', 'diri', 'beban']"
alasannya apa sih browsing enggak nemu,"['alasannya', 'apa', 'sih', 'browsing', 'enggak', 'nemu']"
zize,['zize']
nah ya tugas mereka mereka lebih tau kalo kita yang jauh taune pelatih yang bertanggung jawab,"['nah', 'ya', 'tugas', 'mereka', 'mereka', 'lebih', 'tau', 'kalo', 'kita', 'yang', 'jauh', 'taune', 'pelatih', 'yang', 'bertanggung', 'jawab']"
jadi ingat dulu dia waktu pertama kali debut cocok nya jadi supersub coba saja dia jadikan supersub main nya pas babak ke,"['jadi', 'ingat', 'dulu', 'dia', 'waktu', 'pertama', 'kali', 'debut', 'cocok', 'nya', 'jadi', 'supersub', 'coba', 'saja', 'dia', 'jadikan', 'supersub', 'main', 'nya', 'pas', 'babak', 'ke']"
eksekutor pinalti terkahir punya arsenal siapa cokk a a,"['eksekutor', 'pinalti', 'terkahir', 'punya', 'arsenal', 'siapa', 'cokk', 'a', 'a']"
oh shitt man,"['oh', 'shitt', 'man']"
barca lebih parah dari mu di mu gaji tertinggi cuman ke per minggu di barca deh jong saja ke per minggu makanya dikurangin itupun masih terlalu besar,"['barca', 'lebih', 'parah', 'dari', 'mu', 'di', 'mu', 'gaji', 'tertinggi', 'cuman', 'ke', 'per', 'minggu', 'di', 'barca', 'deh', 'jong', 'saja', 'ke', 'per', 'minggu', 'makanya', 'dikurangin', 'itupun', 'masih', 'terlalu', 'besar']"
lini pertahanan terlihat lebih solid di bawah ruben amorim namun lini serang perlu lebih tajam untuk meraih kemenangan di pertandingan berikutnya,"['lini', 'pertahanan', 'terlihat', 'lebih', 'solid', 'di', 'bawah', 'ruben', 'amorim', 'namun', 'lini', 'serang', 'perlu', 'lebih', 'tajam', 'untuk', 'meraih', 'kemenangan', 'di', 'pertandingan', 'berikutnya']"
pemain lawan juga kuat sih kita lumayan bisa menahan tapi kurang efektif di depan,"['pemain', 'lawan', 'juga', 'kuat', 'sih', 'kita', 'lumayan', 'bisa', 'menahan', 'tapi', 'kurang', 'efektif', 'di', 'depan']"
perlu transfer window yang bagus untuk amorim bisa terapkan filosofinya dengan maksimal,"['perlu', 'transfer', 'window', 'yang', 'bagus', 'untuk', 'amorim', 'bisa', 'terapkan', 'filosofinya', 'dengan', 'maksimal']"
untung enggak el silahkan,"['untung', 'enggak', 'el', 'silahkan']"
main saja jarang tapi kagak fit aneh,"['main', 'saja', 'jarang', 'tapi', 'kagak', 'fit', 'aneh']"
serangan balik mu bagus tapi pertahanannya juga harus kuat,"['serangan', 'balik', 'mu', 'bagus', 'tapi', 'pertahanannya', 'juga', 'harus', 'kuat']"
itu sih mason mount sama shaw enggak ada kesadaran diri buat sembuh apa ya,"['itu', 'sih', 'mason', 'mount', 'sama', 'shaw', 'enggak', 'ada', 'kesadaran', 'diri', 'buat', 'sembuh', 'apa', 'ya']"
kita tetap perlu meningkatkan ketajaman di lini serang banyak peluang yang seharusnya bisa lebih diselesaikan,"['kita', 'tetap', 'perlu', 'meningkatkan', 'ketajaman', 'di', 'lini', 'serang', 'banyak', 'peluang', 'yang', 'seharusnya', 'bisa', 'lebih', 'diselesaikan']"
amorim perlu perbaiki pertahanan masih sering kebobolan,"['amorim', 'perlu', 'perbaiki', 'pertahanan', 'masih', 'sering', 'kebobolan']"
tuker palmer kalo mau,"['tuker', 'palmer', 'kalo', 'mau']"
jangan lihat pemain lain lihat arah bola yang nerimamaguire lari dari belakang bek lawan,"['jangan', 'lihat', 'pemain', 'lain', 'lihat', 'arah', 'bola', 'yang', 'nerimamaguire', 'lari', 'dari', 'belakang', 'bek', 'lawan']"
boleh juga ya main joshua zikri sekarang,"['boleh', 'juga', 'ya', 'main', 'joshua', 'zikri', 'sekarang']"
harusnya rashford lebih sering dicadangkan dulu biar dia termotivasi,"['harusnya', 'rashford', 'lebih', 'sering', 'dicadangkan', 'dulu', 'biar', 'dia', 'termotivasi']"
lini tengah lebih solid tidak mudah kehilangan bola seperti dulu,"['lini', 'tengah', 'lebih', 'solid', 'tidak', 'mudah', 'kehilangan', 'bola', 'seperti', 'dulu']"
what a game permainan macam apa,"['what', 'a', 'game', 'permainan', 'macam', 'apa']"
formasi lebih fleksibel bisa berubah sesuai situasi pertandingan,"['formasi', 'lebih', 'fleksibel', 'bisa', 'berubah', 'sesuai', 'situasi', 'pertandingan']"
saya berharap ruben amorim bisa segera memperbaiki masalah ketajaman di depan gawang tim semakin terorganisir namun rashford harus lebih efisien,"['saya', 'berharap', 'ruben', 'amorim', 'bisa', 'segera', 'memperbaiki', 'masalah', 'ketajaman', 'di', 'depan', 'gawang', 'tim', 'semakin', 'terorganisir', 'namun', 'rashford', 'harus', 'lebih', 'efisien']"
berharap onana cedera panjang,"['berharap', 'onana', 'cedera', 'panjang']"
fcsb garis kerasnya,"['fcsb', 'garis', 'kerasnya']"
permainan mu semakin berkembang tetapi kita perlu lebih konsisten,"['permainan', 'mu', 'semakin', 'berkembang', 'tetapi', 'kita', 'perlu', 'lebih', 'konsisten']"
memang ini yang tak tunggu tapi entah kenapa raspot melulu yang main,"['memang', 'ini', 'yang', 'tak', 'tunggu', 'tapi', 'entah', 'kenapa', 'raspot', 'melulu', 'yang', 'main']"
pelatih baru squad seadanya tapi permainan kalah total wkwkw,"['pelatih', 'baru', 'squad', 'seadanya', 'tapi', 'permainan', 'kalah', 'total', 'wkwkw']"
harus fifa bisa ubah posisi offside seperti ini jadi gol karena ada atau tidak pemain tersebut gol bola contohnya kalo bola sengaja di tepis sama bek tapi masuk ke gawang tetap sahgol kalo enggak masuk bisa berbuah pinalty,"['harus', 'fifa', 'bisa', 'ubah', 'posisi', 'offside', 'seperti', 'ini', 'jadi', 'gol', 'karena', 'ada', 'atau', 'tidak', 'pemain', 'tersebut', 'gol', 'bola', 'contohnya', 'kalo', 'bola', 'sengaja', 'di', 'tepis', 'sama', 'bek', 'tapi', 'masuk', 'ke', 'gawang', 'tetap', 'sahgol', 'kalo', 'enggak', 'masuk', 'bisa', 'berbuah', 'pinalty']"
makanya tapi fan mana peduli yang bisa di desak ya pelatih kalo memang niatnya nyelamatin mu kenapa kemarin dari arab di tolak deh itu saja,"['makanya', 'tapi', 'fan', 'mana', 'peduli', 'yang', 'bisa', 'di', 'desak', 'ya', 'pelatih', 'kalo', 'memang', 'niatnya', 'nyelamatin', 'mu', 'kenapa', 'kemarin', 'dari', 'arab', 'di', 'tolak', 'deh', 'itu', 'saja']"
bayindir bisa nih geser onane,"['bayindir', 'bisa', 'nih', 'geser', 'onane']"
enggak kan ini mah klub kebanggaan kita jadi mengapai narik kesimpulan offside,"['enggak', 'kan', 'ini', 'mah', 'klub', 'kebanggaan', 'kita', 'jadi', 'mengapai', 'narik', 'kesimpulan', 'offside']"
besar here we go,"['besar', 'here', 'we', 'go']"
eth kalo ngebet banget mau maenin rashford yaudah di cf saja garnarashford amad deh,"['eth', 'kalo', 'ngebet', 'banget', 'mau', 'maenin', 'rashford', 'yaudah', 'di', 'cf', 'saja', 'garnarashford', 'amad', 'deh']"
